Temperature,Humidity,CO2,Illumination,Time,Growth_rate
20.8,75.6,526.3,190.8,13.5,1.4
27.6,45.4,747.5,217.6,10.2,1.6
26.6,80.5,846.2,151.0,17.0,1.1
31.1,64.1,940.1,208.9,22.4,1.3
32.0,81.3,1131.8,240.5,14.8,1.2
30.4,60.0,1018.7,125.2,10.1,2.1
23.5,67.4,440.4,126.1,18.8,1.1
19.2,88.3,1114.7,268.3,22.9,1.2
19.5,77.9,1228.8,240.1,23.2,1.7
21.7,48.2,1203.7,113.0,8.0,1.8
34.8,53.9,1212.4,130.6,8.0,1.5
20.5,44.3,1195.3,108.5,8.1,1.7
19.4,56.1,1215.1,100.4,8.8,1.2
20.8,59.7,1208.3,107.9,8.4,1.1
35.8,40.0,410.3,104.6,8.5,0.7
19.1,83.8,1164.0,262.2,22.7,1.2
20.3,57.4,1222.1,272.0,21.6,1.5
20.3,67.3,1208.3,106.6,8.2,1.4
