# Temperature,Humidity,CO2,Illumination,Time,Growth_rate
2.000349271954164720e+01,7.894080552453330313e+01,1.199999270763744335e+03,1.408753935489481819e+02,1.279688680641964105e+01,1.585949897766113281e+00
2.000142117594364066e+01,6.863279840155787781e+01,1.199999627322121341e+03,1.732303475221351050e+02,1.510216908525202406e+01,1.585949897766113281e+00
2.001383261155963567e+01,6.778709774333815119e+01,1.199999414290148025e+03,1.725573141402679482e+02,1.278651958625317064e+01,1.585949897766113281e+00
2.011513808020017535e+01,7.127747790701327801e+01,1.199999898663673548e+03,2.386210710927641401e+02,1.763749175026716642e+01,1.585949897766113281e+00
2.118226147139099780e+01,7.158295960487308207e+01,1.199999493825177069e+03,1.906700031507195661e+02,1.244111904132025614e+01,1.585949897766113281e+00
2.005712519880968614e+01,6.325775906803394122e+01,1.199999712315750230e+03,1.493905652121405296e+02,1.348749639487406604e+01,1.585949897766113281e+00
2.002658589709854908e+01,6.475575842889197986e+01,1.199999998279619604e+03,2.518783810959035634e+02,1.723627980816711158e+01,1.585949897766113281e+00
2.006214086698020083e+01,7.973506841805331646e+01,1.199998400434385303e+03,2.545742531833186604e+02,1.741056063965186951e+01,1.585949897766113281e+00
2.113700491921993319e+01,7.228473918569025614e+01,1.199987437073325736e+03,2.537487939212525134e+02,1.511023001861893178e+01,1.585949897766113281e+00
2.000988868116110808e+01,7.240791629346496450e+01,1.199987491317913509e+03,2.375570498150282788e+02,1.586464957962847500e+01,1.585949897766113281e+00
2.077154951202180300e+01,6.116506974442885536e+01,1.199998489842897925e+03,1.383425597011788284e+02,1.269187386272298923e+01,1.585949897766113281e+00
2.048816020379487313e+01,6.450081986834963743e+01,1.199999947091302602e+03,1.158565741991810683e+02,1.076860503382255807e+01,1.585949897766113281e+00
2.094343072387917815e+01,6.450081986834963743e+01,1.199999842038278530e+03,1.201044504219564146e+02,1.078963492734750318e+01,1.585949897766113281e+00
2.128145359227626088e+01,6.763726516749818529e+01,1.199993791763654826e+03,2.477671738604813072e+02,1.761837768881065003e+01,1.585949897766113281e+00
2.096376953677021504e+01,6.450081986834963743e+01,1.199999824574818604e+03,1.202293667724297563e+02,1.082299611870466194e+01,1.585949897766113281e+00
2.076692369245379766e+01,7.154029779258819133e+01,1.199999494797199077e+03,2.456204104611235266e+02,1.244923977965444450e+01,1.585949897766113281e+00
2.064683547527724983e+01,7.041727577430746976e+01,1.199997654156040198e+03,1.802873147460707060e+02,1.204084061798008065e+01,1.585949897766113281e+00
2.004042415346552630e+01,6.915584048318027044e+01,1.199999252407400036e+03,1.475703935609485029e+02,1.435345024523677360e+01,1.585949897766113281e+00
2.076419647753858655e+01,6.600138313325400929e+01,1.199998909765416329e+03,1.435969893649678681e+02,1.851310999656931955e+01,1.585949897766113281e+00
2.032303045879321601e+01,7.234432110320041431e+01,1.199999288704184892e+03,1.328137791192131374e+02,1.452816129153798919e+01,1.585949897766113281e+00
2.004221855974673261e+01,6.954025436212270961e+01,1.199994674355758661e+03,1.596400272359885548e+02,1.566033349703143429e+01,1.585949897766113281e+00
2.033608956702012804e+01,6.863279840155787781e+01,1.199999755427991659e+03,1.732303475221351050e+02,1.510216908525202406e+01,1.585949897766113281e+00
2.000619395542883083e+01,6.462532482174400172e+01,1.199999553904496679e+03,1.586743167950475311e+02,1.653272367913346486e+01,1.585949897766113281e+00
2.001991974572508326e+01,6.038094890542690507e+01,1.199999997147701833e+03,1.422949194950810465e+02,1.726642525147672558e+01,1.585949897766113281e+00
2.005024334991925983e+01,6.978275603130599336e+01,1.199980143261979492e+03,1.665651004298561020e+02,1.376650588450318047e+01,1.585949897766113281e+00
2.111415583875909618e+01,6.450081986834963743e+01,1.199999842038278530e+03,1.202293667724297563e+02,1.082299611870466194e+01,1.585949897766113281e+00
2.078331295539051382e+01,7.254222356602568311e+01,1.199999702616493551e+03,1.799093861780808368e+02,1.165096435335155967e+01,1.585949897766113281e+00
2.004459227455759418e+01,6.687769250993363812e+01,1.199998446866278982e+03,1.797159202005158818e+02,1.536686865621384435e+01,1.585949897766113281e+00
2.049259806013756702e+01,7.235568830748097469e+01,1.199689871408300633e+03,1.409448304122307150e+02,1.097969289746846755e+01,1.585949897766113281e+00
2.002709628132318542e+01,6.384344203336981138e+01,1.199999997577558361e+03,1.217677771410332923e+02,1.722067299241082949e+01,1.585949897766113281e+00
2.026835155920251808e+01,6.297379250983846077e+01,1.199999720548503319e+03,1.493472738952627594e+02,1.011871908717402135e+01,1.585949897766113281e+00
2.006781606467325929e+01,7.973506841805331646e+01,1.199998404102970653e+03,2.483039289925769424e+02,1.741056063965186951e+01,1.585949897766113281e+00
2.002598375734503833e+01,7.580534823710668491e+01,1.199999471787310540e+03,2.451842495660068266e+02,1.901291895591170089e+01,1.585949897766113281e+00
2.000088611588489229e+01,6.303004056928534027e+01,1.199999644054749524e+03,1.735770482524426370e+02,1.361910777885917412e+01,1.585949897766113281e+00
2.006915437879602848e+01,7.212727564048735474e+01,1.199982761783471688e+03,1.540713797550937443e+02,1.138658147103124918e+01,1.585949897766113281e+00
2.077853222698276525e+01,6.091036088504780821e+01,1.199998489842897925e+03,1.398668242237143033e+02,1.344348441330864574e+01,1.585949897766113281e+00
2.000349271954164720e+01,7.848499411463774322e+01,1.199999270763744335e+03,1.408753935489481819e+02,1.278614955126282027e+01,1.585949897766113281e+00
2.008768102655570686e+01,6.699479642103177923e+01,1.199999790949828366e+03,1.579554627609601312e+02,2.071759184070130644e+01,1.585949897766113281e+00
2.008711777602217552e+01,7.751216291013281534e+01,1.199999797865851178e+03,1.944304824991299654e+02,1.520348506653140497e+01,1.585949897766113281e+00
2.000743555020007136e+01,6.852811573915413135e+01,1.199999617195853489e+03,1.619200377528556487e+02,1.431236194000172901e+01,1.585949897766113281e+00
2.127453224986776803e+01,6.523765959137394077e+01,1.199999947721477383e+03,1.139031338085103187e+02,1.278540858242075196e+01,1.585949897766113281e+00
2.109753690463749010e+01,7.282646013332522728e+01,1.199999892818452281e+03,1.754185504290947222e+02,1.448954062651385577e+01,1.585949897766113281e+00
2.090031309193724596e+01,6.866870902651029951e+01,1.199998600677164632e+03,2.408121303663091908e+02,8.666164986178749530e+00,1.585949897766113281e+00
2.003919627935620440e+01,7.229822211405775079e+01,1.199999372163049657e+03,1.408753935489481819e+02,1.279688680641964105e+01,1.585949897766113281e+00
2.055305535502566272e+01,6.709224055412578025e+01,1.199999930787567109e+03,1.774044319522974149e+02,1.699902443463142987e+01,1.585949897766113281e+00
2.040170237750718485e+01,7.884114007407060853e+01,1.199999616276788402e+03,2.449015609425075581e+02,1.103951347579475595e+01,1.585949897766113281e+00
